src_node	dst_node	tolerance	dstIps	sat/unsat	Conflicts	Decisions	TotalTime	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints	MincutTime	PruneTime	CompressionTime	ToleranceOrigin	TolerancePrune	ToleranceCompression
amsterdam	frankfurt	1	IpWildcardIpSpace{ipWildcard=100.0.22.0/24}	unsat	1051	3134	552.0	443.0	443.0	443.0	0.443	0.443	0.443	94.0	FastEthernet0/0	1690.0	3553.0	0.0	114893.0	394804.0	48.0	42.0	32.0
amsterdam	frankfurt	2	IpWildcardIpSpace{ipWildcard=100.0.22.0/24}	unsat	3601	7676	1458.0	1368.0	1368.0	1368.0	1.367	1.367	1.367	75.0	FastEthernet0/0	1690.0	3553.0	0.0	112299.0	317945.0	48.0	42.0	32.0
amsterdam	frankfurt	3	IpWildcardIpSpace{ipWildcard=100.0.22.0/24}	unsat	8717	14202	3259.0	3171.0	3171.0	3171.0	3.17	3.17	3.17	73.0	FastEthernet0/0	1690.0	3553.0	0.0	94786.0	209770.0	48.0	42.0	32.0
paris	frankfurt	1	IpWildcardIpSpace{ipWildcard=100.0.22.0/24}	unsat	1127	3669	501.0	412.0	412.0	412.0	0.411	0.411	0.411	75.0	FastEthernet0/0	1690.0	3553.0	0.0	98261.0	255579.0	48.0	42.0	32.0
paris	frankfurt	2	IpWildcardIpSpace{ipWildcard=100.0.22.0/24}	unsat	4559	10223	1813.0	1725.0	1725.0	1725.0	1.725	1.725	1.725	73.0	FastEthernet0/0	1690.0	3553.0	0.0	83874.0	221288.0	48.0	42.0	32.0
paris	frankfurt	3	IpWildcardIpSpace{ipWildcard=100.0.22.0/24}	unsat	9737	16688	3349.0	3260.0	3260.0	3260.0	3.259	3.259	3.259	74.0	FastEthernet0/0	1690.0	3553.0	0.0	80445.0	290208.0	48.0	42.0	32.0
zurich	frankfurt	1	IpWildcardIpSpace{ipWildcard=100.0.22.0/24}	unsat	1361	4311	597.0	511.0	511.0	511.0	0.511	0.511	0.511	72.0	FastEthernet0/0	1690.0	3553.0	0.0	86658.0	158027.0	48.0	42.0	32.0
zurich	frankfurt	2	IpWildcardIpSpace{ipWildcard=100.0.22.0/24}	unsat	4007	8353	1462.0	1376.0	1376.0	1376.0	1.376	1.376	1.376	73.0	FastEthernet0/0	1690.0	3553.0	0.0	86969.0	155291.0	48.0	42.0	32.0
zurich	frankfurt	3	IpWildcardIpSpace{ipWildcard=100.0.22.0/24}	unsat	8912	14916	3224.0	3139.0	3139.0	3139.0	3.138	3.138	3.138	73.0	FastEthernet0/0	1690.0	3553.0	0.0	78427.0	154531.0	48.0	42.0	32.0
paris	brussels	1	IpWildcardIpSpace{ipWildcard=100.0.14.0/24}	unsat	1019	3809	556.0	474.0	474.0	474.0	0.474	0.474	0.474	68.0	FastEthernet0/0	1690.0	3551.0	0.0	77107.0	160174.0	48.0	42.0	32.0
paris	brussels	2	IpWildcardIpSpace{ipWildcard=100.0.14.0/24}	unsat	3110	7338	1265.0	1184.0	1184.0	1184.0	1.184	1.184	1.184	67.0	FastEthernet0/0	1690.0	3551.0	0.0	77651.0	149704.0	48.0	42.0	32.0
paris	brussels	3	IpWildcardIpSpace{ipWildcard=100.0.14.0/24}	unsat	10597	17304	4103.0	4021.0	4021.0	4021.0	4.021	4.021	4.021	68.0	FastEthernet0/0	1690.0	3551.0	0.0	76618.0	153696.0	48.0	42.0	32.0
